Front,Back,POS,Tags
acier,steel,,vocab3kyu
discuter,discuss,,vocab3kyu
avant,forward,,vocab3kyu
similaire,similar,,vocab3kyu
guider,guide,,vocab3kyu
expérience,experience,,vocab3kyu
score,score,,vocab3kyu
pomme,apple,,vocab3kyu
acheté,bought,,vocab3kyu
LED,led,,vocab3kyu
pas,pitch,,vocab3kyu
manteau,coat,,vocab3kyu
masse,mass,,vocab3kyu
carte,card,,vocab3kyu
bande,band,,vocab3kyu
corde,rope,,vocab3kyu
glissement,slip,,vocab3kyu
gagner,win,,vocab3kyu
rêver,dream,,vocab3kyu
soirée,evening,,vocab3kyu
condition,condition,,vocab3kyu
alimentation,feed,,vocab3kyu
outil,tool,,vocab3kyu
total,total,,vocab3kyu
de base,basic,,vocab3kyu
odeur,smell,,vocab3kyu
vallée,valley,,vocab3kyu
ni,nor,,vocab3kyu
double,double,,vocab3kyu
siège,seat,,vocab3kyu
continuer,continue,,vocab3kyu
bloc,block,,vocab3kyu
graphique,chart,,vocab3kyu
chapeau,hat,,vocab3kyu
vendre,sell,,vocab3kyu
succès,success,,vocab3kyu
entreprise,company,,vocab3kyu
soustraire,subtract,,vocab3kyu
événement,event,,vocab3kyu
particulier,particular,,vocab3kyu
accord,deal,,vocab3kyu
baignade,swim,,vocab3kyu
terme,term,,vocab3kyu
opposé,opposite,,vocab3kyu
femme,wife,,vocab3kyu
chaussure,shoe,,vocab3kyu
épaule,shoulder,,vocab3kyu
propagation,spread,,vocab3kyu
organiser,arrange,,vocab3kyu
camp,camp,,vocab3kyu
inventer,invent,,vocab3kyu
coton,cotton,,vocab3kyu
né,born,,vocab3kyu
déterminer,determine,,vocab3kyu
litre,quart,,vocab3kyu
neuf,nine,,vocab3kyu
camion,truck,,vocab3kyu
bruit,noise,,vocab3kyu
niveau,level,,vocab3kyu
chance,chance,,vocab3kyu
recueillir,gather,,vocab3kyu
boutique,shop,,vocab3kyu
tronçon,stretch,,vocab3kyu
jeter,throw,,vocab3kyu
éclat,shine,,vocab3kyu
propriété,property,,vocab3kyu
colonne,column,,vocab3kyu
molécule,molecule,,vocab3kyu
sélectionner,select,,vocab3kyu
mal,wrong,,vocab3kyu
gris,gray,,vocab3kyu
répétition,repeat,,vocab3kyu
exiger,require,,vocab3kyu
large,broad,,vocab3kyu
préparer,prepare,,vocab3kyu
sel,salt,,vocab3kyu
nez,nose,,vocab3kyu
pluriel,plural,,vocab3kyu
colère,anger,,vocab3kyu
revendication,claim,,vocab3kyu
continent…,continent,,vocab3kyu
