Front,Back,POS,Tags
part,共有,,vocab3kyu
station,駅,,vocab3kyu
papa,お父さん,,vocab3kyu
pain,パン,,vocab3kyu
charger,充電,,vocab3kyu
propre,ちゃんとした,,vocab3kyu
bar,バー,,vocab3kyu
proposition,オファー,,vocab3kyu
segment,セグメント,,vocab3kyu
esclave,奴隷,,vocab3kyu
canard,アヒル,,vocab3kyu
instant,インスタント,,vocab3kyu
marché,市場,,vocab3kyu
degré,程度,,vocab3kyu
peupler,入力します,,vocab3kyu
poussin,ひよこ,,vocab3kyu
cher,親愛なる,,vocab3kyu
ennemi,敵,,vocab3kyu
répondre,返事,,vocab3kyu
boisson,飲む,,vocab3kyu
se produire,起こる,,vocab3kyu
support,サポート,,vocab3kyu
discours,スピーチ,,vocab3kyu
nature,自然,,vocab3kyu
gamme,範囲,,vocab3kyu
vapeur,スチーム,,vocab3kyu
mouvement,モーション,,vocab3kyu
chemin,パス,,vocab3kyu
liquide,液体,,vocab3kyu
enregistrer,ログ,,vocab3kyu
signifiait,意味,,vocab3kyu
quotient,商,,vocab3kyu
dents,歯,,vocab3kyu
coquille,シェル,,vocab3kyu
cou,ネック,,vocab3kyu
oxygène,酸素,,vocab3kyu
sucre,砂糖,,vocab3kyu
décès,死,,vocab3kyu
assez,かわいい,,vocab3kyu
compétence,スキル,,vocab3kyu
femmes,女性,,vocab3kyu
saison,季節,,vocab3kyu
solution,解決,,vocab3kyu
aimant,磁石,,vocab3kyu
argent,銀,,vocab3kyu
merci,感謝,,vocab3kyu
branche,支店,,vocab3kyu
rencontre,マッチ,,vocab3kyu
suffixe,サフィックス,,vocab3kyu
particulièrement,特に,,vocab3kyu
figue,イチジク,,vocab3kyu
peur,恐れている,,vocab3kyu
énorme,巨大な,,vocab3kyu
sœur,妹,,vocab3kyu
acier,鋼鉄,,vocab3kyu
discuter,話し合う,,vocab3kyu
avant,フォワード,,vocab3kyu
similaire,似ている,,vocab3kyu
guider,ガイド,,vocab3kyu
expérience,経験,,vocab3kyu
score,スコア,,vocab3kyu
pomme,りんご,,vocab3kyu
acheté,買った,,vocab3kyu
LED,導かれた,,vocab3kyu
pas,ピッチ,,vocab3kyu
manteau,コート,,vocab3kyu
masse,質量,,vocab3kyu
carte,カード,,vocab3kyu
bande,バンド,,vocab3kyu
corde,ロープ,,vocab3kyu
glissement,スリップ,,vocab3kyu
gagner,勝つ,,vocab3kyu
rêver,夢,,vocab3kyu
soirée,夕方,,vocab3kyu
condition,状態,,vocab3kyu
alimentation,餌,,vocab3kyu
outil,道具,,vocab3kyu
total,合計,,vocab3kyu
de base,基本,,vocab3kyu
odeur,匂い,,vocab3kyu
vallée,谷,,vocab3kyu
ni,または,,vocab3kyu
double,ダブル,,vocab3kyu
siège,シート,,vocab3kyu
continuer,続く,,vocab3kyu
bloc,ブロック,,vocab3kyu
graphique,チャート,,vocab3kyu
chapeau,帽子,,vocab3kyu
vendre,売る,,vocab3kyu
succès,成功,,vocab3kyu
entreprise,会社,,vocab3kyu
soustraire,減算します,,vocab3kyu
événement,イベント,,vocab3kyu
particulier,特定の,,vocab3kyu
accord,取引,,vocab3kyu
baignade,泳ぐ,,vocab3kyu
terme,学期,,vocab3kyu
opposé,反対,,vocab3kyu
femme,妻,,vocab3kyu
chaussure,靴,,vocab3kyu
épaule,ショルダー,,vocab3kyu
propagation,広める,,vocab3kyu
organiser,整える,,vocab3kyu
camp,キャンプ,,vocab3kyu
inventer,発明する,,vocab3kyu
coton,コットン,,vocab3kyu
né,生まれる,,vocab3kyu
déterminer,決定する,,vocab3kyu
litre,クォート,,vocab3kyu
neuf,九,,vocab3kyu
camion,トラック,,vocab3kyu
bruit,ノイズ,,vocab3kyu
niveau,レベル,,vocab3kyu
chance,チャンス,,vocab3kyu
recueillir,集める,,vocab3kyu
boutique,店,,vocab3kyu
tronçon,ストレッチ,,vocab3kyu
jeter,投げる,,vocab3kyu
éclat,輝く,,vocab3kyu
propriété,財産,,vocab3kyu
colonne,カラム,,vocab3kyu
molécule,分子,,vocab3kyu
sélectionner,選択します,,vocab3kyu
mal,間違っている,,vocab3kyu
gris,グレー,,vocab3kyu
répétition,繰り返す,,vocab3kyu
exiger,必要とする,,vocab3kyu
large,広い,,vocab3kyu
préparer,準備する,,vocab3kyu
sel,塩,,vocab3kyu
nez,鼻,,vocab3kyu
pluriel,複数,,vocab3kyu
colère,怒り,,vocab3kyu
revendication,請求,,vocab3kyu
continent…,大陸,,vocab3kyu
